alternative_names,classification,first_name,frequency_female,frequency_male,frequency_total,frequency_group,group_name,ratio
DALCIMARA|DILCIMARA|DULCIMARA,F,DELCIMARA,171,,171,810,DULCIMARA,1.0
BELCINA|DALCINA|DELCINHA|DILCINHA|DOLCINA|DULCINA|DULCINHA,F,DELCINA,880,,880,2079,DELCINA,1.0
DALCINDA|DULCINDA,F,DELCINDA,59,,59,160,DULCINDA,1.0
DULCINDO,M,DELCINDO,,49,49,72,DELCINDO,1.0
DILCINEA|DULCINEA,F,DELCINEA,20,,20,2939,DULCINEA,1.0
DALCINEI|DELCINEY|DILCINEI|DILCINEY|DULCINEI|DULCINEY,M,DELCINEI,,124,124,994,DULCINEI,1.0
DALCINEIA|DILCINEIA|DOLCINEIA|DULCINEIA,F,DELCINEIA,121,,121,20129,DULCINEIA,1.0
DALCINEIDE|DILCINEIDE|DULCINEIDE,F,DELCINEIDE,48,,48,922,DULCINEIDE,1.0
DALCINETE|DILCINETE|DULCINETE,F,DELCINETE,39,,39,919,DULCINETE,1.0
DALCINEI|DELCINEI|DILCINEI|DILCINEY|DULCINEI|DULCINEY,M,DELCINEY,,27,27,994,DULCINEI,1.0
BELCINA|DALCINA|DELCINA|DILCINHA|DOLCINA|DULCINA|DULCINHA,F,DELCINHA,26,,26,2079,DELCINA,1.0
DALCINO|DELCINO|DULCINO,M,DELCINHO,,25,25,765,DELCINO,1.0
DALCINO|DELCINHO|DULCINO,M,DELCINO,,499,499,765,DELCINO,1.0
BELKIOR|DAELCIO|DALCIO|DILCIO|DULCIO,M,DELCIO,,6254,6254,6955,DELCIO,1.0
DALCIONE|DILCIONE|DULCIONE,M,DELCIONE,85,186,271,535,DELCIONE,0.6863468634686347
BELCI|DALCI|DALCIR|DALCY|DALCYR|DELCI|DELCY|DELCYR|DILCEI|DILCI|DILCY|DOALCEI|DOALCEY|DOLCI|DUALCEI|DULCI|DULCY,M,DELCIR,338,700,1038,14618,DELCI,0.674373795761079
DALCIRA|DULCIRA,F,DELCIRA,284,,284,623,DALCIRA,1.0
DALCIRENE|DILCIRENE|DULCIRENE,F,DELCIRENE,47,,47,693,DULCIRENE,1.0
,M,DELCIRIO,,27,27,27,DELCIRIO,1.0
,M,DELCIRO,,25,25,25,DELCIRO,1.0
DALCISA|DALCIZA|DELCIZA,F,DELCISA,35,,35,129,DALCISA,1.0
DALCIVAN|DILCIVAN|DULCIVAN,M,DELCIVAN,,111,111,149,DELCIVAN,1.0
DALCIVANE|DULCIVANE,F,DELCIVANE,42,,42,82,DELCIVANE,1.0
DALCIVANIA|DULCIVANIA,F,DELCIVANIA,54,,54,242,DULCIVANIA,1.0
,M,DELCLECIANO,,239,239,239,DELCLECIANO,1.0
,M,DELCLECIO,,412,412,412,DELCLECIO,1.0
,M,DELCLIDES,,301,301,301,DELCLIDES,1.0
DALCO|DILCO,M,DELCO,,239,239,351,DELCO,1.0
DILCON,M,DELCON,,28,28,51,DELCON,1.0
,M,DELCRECIO,,61,61,61,DELCRECIO,1.0
BELCI|DALCI|DALCIR|DALCY|DALCYR|DELCI|DELCIR|DELCYR|DILCEI|DILCI|DILCY|DOALCEI|DOALCEY|DOLCI|DUALCEI|DULCI|DULCY,F,DELCY,421,241,662,14618,DELCI,0.6359516616314199
BELCI|DALCI|DALCIR|DALCY|DALCYR|DELCI|DELCIR|DELCY|DILCEI|DILCI|DILCY|DOALCEI|DOALCEY|DOLCI|DUALCEI|DULCI|DULCY,M,DELCYR,,20,20,14618,DELCI,1.0
BALDIR|DALBI|DALDIR|DELBI|DELDIR,F,DELDI,34,33,67,187,DELDI,0.5074626865671642
BALBINA|BALDINA|BALDUINA|DALDINA,F,DELDINA,121,,121,7679,BALBINA,1.0
BALBINO|BALDINO|BALDUINO|DALBINO,M,DELDINO,,43,43,6037,BALBINO,1.0
,M,DELDUQUE,,43,43,43,DELDUQUE,1.0
DILEAM|DILEAN,M,DELEAN,,33,33,347,DILEAN,1.0
DELECIR,F,DELECI,86,,86,86,DELECI,1.0
,F,DELECINA,205,,205,205,DELECINA,1.0
BELI|BILI|BILY|DAELI|DAELY|DAILI|DAILY|DALEI|DALEY|DALI|DALIR|DALY|DAYELI|DEILI|DEILY|DELEIR|DELEY|DELI|DELIR|DELUIR|DELY|DEOLI|DEOLIR|DEULI|DHIULI|DHIULY|DHULI|DHULY|DIEILI|DIELI|DIELY|DILEI|DILEY|DILI|DIOLEI|DIOLI|DIULI|DIULY|DOELI|DOLI|DOLIR|DOLY|DUELI|DUILI|DUILY|DULI|DULY|DYULI,M,DELEI,,239,239,10213,DELI,1.0
BLEIDE|DELIDE|DEOLIDE|DILEIDE|DIOLEIDE,F,DELEIDE,116,,116,497,DILEIDE,1.0
DILEMA|DILEMAR,M,DELEMAR,,59,59,288,DILEMA,1.0
BILENE|BLENE|BLENER|BLENNER|DAILENE|DALENE|DAYLENE|DEOLENE|DEULENE|DIELENE|DILAENE|DILENE|DIOLENE|DIULENE,F,DELENE,103,,103,5761,DILENE,1.0
DALENI|DELENIR|DILENI|DILENIR|DILENY,F,DELENI,38,,38,372,DILENI,1.0
BELENICE|DILENICE,F,DELENICE,171,,171,502,BELENICE,1.0
DALENI|DELENI|DILENI|DILENIR|DILENY,F,DELENIR,104,,104,372,DILENI,1.0
DELEOM|DILEON|DLEON,M,DELEON,,1609,1609,1695,DELEON,1.0
DILERMANDO|DILHERMANDO,M,DELERMANDO,,71,71,1396,DILERMANDO,1.0
DILERMANO|DILHERMANO,M,DELERMANO,,32,32,531,DILERMANO,1.0
DAILES|DALES|DIALES|DIELES|DILES|DUILES,F,DELES,62,27,89,564,DILES,0.6966292134831461
DELEZIA,F,DELESIA,256,,256,376,DELESIA,1.0
DALESIO|DELEZIO|DILESIO,M,DELESIO,,26,26,105,DALESIO,1.0
DELEUZA|DILEUSA|DILEUZA,F,DELEUSA,81,,81,1973,DILEUZA,1.0
DELEUSA|DILEUSA|DILEUZA,F,DELEUZA,101,,101,1973,DILEUZA,1.0
BELI|BILI|BILY|DAELI|DAELY|DAILI|DAILY|DALEI|DALEY|DALI|DALIR|DALY|DAYELI|DEILI|DEILY|DELEI|DELEIR|DELI|DELIR|DELUIR|DELY|DEOLI|DEOLIR|DEULI|DHIULI|DHIULY|DHULI|DHULY|DIEILI|DIELI|DIELY|DILEI|DILEY|DILI|DIOLEI|DIOLI|DIULI|DIULY|DOELI|DOLI|DOLIR|DOLY|DUELI|DUILI|DUILY|DULI|DULY|DYULI,M,DELEY,,79,79,10213,DELI,1.0
DALESIO|DELESIO|DILESIO,M,DELEZIO,,20,20,105,DALESIO,1.0
,F,DELFA,62,,62,62,DELFA,1.0
,M,DELFI,,30,30,30,DELFI,1.0
DELFIN,M,DELFIM,,653,653,947,DELFIM,1.0
DELFIM,M,DELFIN,,294,294,947,DELFIM,1.0
DALFINA|DELPHINA|DOLFINA,F,DELFINA,5445,26,5471,5708,DELFINA,0.9952476695302505
DELPHINO|DOLFINO,M,DELFINO,27,3003,3030,3093,DELFINO,0.9910891089108911
,M,DELFIO,,26,26,26,DELFIO,1.0
,M,DELFO,,52,52,52,DELFO,1.0
,M,DELFONSO,,300,300,300,DELFONSO,1.0
DALFRAN,M,DELFRAN,,51,51,76,DELFRAN,1.0
BELGA|BILGA,F,DELGA,20,,20,100,BELGA,1.0
BELO|DAILO|DAILOR|DAULO|DEILO|DEILOR|DELO|DELOR|DIELO|DILO|DILOR|DOILHO|DOLOR|DUILHO|DUILO,M,DELHO,,43,43,1485,DUILHO,1.0
BELI|BILI|BILY|DAELI|DAELY|DAILI|DAILY|DALEI|DALEY|DALI|DALIR|DALY|DAYELI|DEILI|DEILY|DELEI|DELEIR|DELEY|DELIR|DELUIR|DELY|DEOLI|DEOLIR|DEULI|DHIULI|DHIULY|DHULI|DHULY|DIEILI|DIELI|DIELY|DILEI|DILEY|DILI|DIOLEI|DIOLI|DIULI|DIULY|DOELI|DOLI|DOLIR|DOLY|DUELI|DUILI|DUILY|DULI|DULY|DYULI,M,DELI,1164,1830,2994,10213,DELI,0.6112224448897795
BELAIR|BELIA|BILIA|BLAIR|DALAI|DALAIR|DALIA|DALYA|DELAI|DELAIR|DHALIA|DHIULIA|DHULIA|DHULYA|DIELIA|DILAI|DILAIR|DILIA|DIULIA|DIULYA|DOLAIR|DOLIA|DUILIA|DULIA|DYULIA,F,DELIA,2932,,2932,11726,DELIA,1.0
DALIAN|DHULIAN|DILIAN|DIULIAN|DUILIAN|DULIAN,F,DELIAN,164,65,229,696,DELIAN,0.7161572052401747
BELIANA|DALIANA|DALYANA|DEILIANA|DHIULIANA|DHULIANA|DILIANA|DIULIANA|DULIANA|DYULIANA,F,DELIANA,555,,555,2239,DALIANA,1.0
BELIANE|BILIANE|BLAINE|BLAINER|DAILAINE|DAILIANE|DALAINE|DALIANE|DALIANNE|DALYANE|DAYLAINE|DAYLIANE|DEILAINE|DEILIANE|DELAINE|DELAYNE|DEULIANE|DEYLIANE|DHULIANE|DILAINE|DILIANE|DIULIANE|DOLIANE|DULIANE|DYULIANE,F,DELIANE,3312,,3312,10577,DELIANE,1.0
DALIANI|DALIANY|DELIANY|DIULIANI,F,DELIANI,75,,75,234,DELIANI,1.0
DALIANO|DILIANO|DIULIANO,M,DELIANO,,82,82,344,DIULIANO,1.0
DALIANI|DALIANY|DELIANI|DIULIANI,F,DELIANY,21,,21,234,DELIANI,1.0
DELAIS,M,DELIAS,,31,31,73,DELAIS,1.0
DELIDIO,M,DELIBIO,,65,65,137,DELIDIO,1.0
BELICE|DALICE|DEOLICE|DEULICE|DIOLICE|DIULICE|DOLICE,F,DELICE,937,,937,1800,DELICE,1.0
BELICIA|DALICIA,F,DELICIA,1600,,1600,1810,DELICIA,1.0
BELICIO|DALICIO|DIOLICIO,M,DELICIO,,431,431,669,DELICIO,1.0
DEOLIDES,F,DELIDES,60,,60,138,DEOLIDES,1.0
DALIDIA,F,DELIDIA,192,,192,222,DELIDIA,1.0
,F,DELIDIANE,21,,21,21,DELIDIANE,1.0
DELIBIO,M,DELIDIO,,72,72,137,DELIDIO,1.0
BELL|BILAL|BILL|DALAL|DALEL|DALIEL|DELL|DILAEL|DILL,M,DELIEL,,73,73,596,BILL,1.0
DALIELSON|DELAILSON|DELILSON|DILAELSON|DILAILSON,M,DELIELSON,,65,65,283,DILAILSON,1.0
BELIENE|DALIENE|DEILIENE|DHULIENE|DILIENE|DIULIENE,F,DELIENE,474,,474,1085,DELIENE,1.0
DALIETE,F,DELIETE,62,,62,107,DELIETE,1.0
BELIMAR|BLIMA|BOLIMAR|DALIMAR|DELIMA|DOLIMAR,M,DELIMAR,118,187,305,457,DELIMAR,0.6131147540983607
,F,DELIMARA,38,,38,38,DELIMARA,1.0
BELINA|BELINHA|DALINA|DAULINA|DELINHA|DEOLINA|DEULINA|DIALINA|DILINA|DIOLINA|DIULINA|DOLINA|DOLINHA|DULINA,F,DELINA,1208,,1208,6622,DIOLINA,1.0
BELINDA|DALINDA|DEOLINDA|DEULINDA|DIOLINDA|DIULINDA|DOLINDA,F,DELINDA,302,,302,12246,DEOLINDA,1.0
,F,DELINDE,22,,22,22,DELINDE,1.0
BELINE|BLEINER|DAILINE|DALINE|DALYNE|DAYLINE|DILEINE|DIOLINE,F,DELINE,182,,182,1729,DALINE,1.0
,F,DELINEIDE,26,,26,26,DELINEIDE,1.0
BELINA|BELINHA|DALINA|DAULINA|DELINA|DEOLINA|DEULINA|DIALINA|DILINA|DIOLINA|DIULINA|DOLINA|DOLINHA|DULINA,F,DELINHA,22,,22,6622,DIOLINA,1.0
BELINHO|BELINO|DALINO|DEOLINO|DEULINO|DIOLINO|DIULINO|DOLINO,M,DELINO,,353,353,2611,DIOLINO,1.0
,M,DELINTO,,25,25,25,DELINTO,1.0
DAELIO|DALIO|DHULIO|DIELIO|DILIO|DIULIO|DOILIO|DUILIO|DULIO|DUYLIO,M,DELIO,,3558,3558,6559,DELIO,1.0
,M,DELIOMAR,,104,104,104,DELIOMAR,1.0
DALION,M,DELION,,100,100,124,DELION,1.0
BELI|BILI|BILY|DAELI|DAELY|DAILI|DAILY|DALEI|DALEY|DALI|DALIR|DALY|DAYELI|DEILI|DEILY|DELEI|DELEIR|DELEY|DELI|DELUIR|DELY|DEOLI|DEOLIR|DEULI|DHIULI|DHIULY|DHULI|DHULY|DIEILI|DIELI|DIELY|DILEI|DILEY|DILI|DIOLEI|DIOLI|DIULI|DIULY|DOELI|DOLI|DOLIR|DOLY|DUELI|DUILI|DUILY|DULI|DULY|DYULI,F,DELIR,284,227,511,10213,DELI,0.5557729941291585
BELIRA|DALIRA|DAULIRA|DEULIRA|DIOLIRA|DOLIRA,F,DELIRA,202,,202,1330,DALIRA,1.0
DALIRES|DOLIRES,F,DELIRES,223,,223,319,DELIRES,1.0
BELIRIA|DALIRIA|DIOLIRIA|DOLIRIA,F,DELIRIA,291,,291,1137,DALIRIA,1.0
BELIRIO|DALIRIO|DIOLIRIO|DOLIRIO,M,DELIRIO,,278,278,782,DALIRIO,1.0
DAILIS|DALIS|DELIZ|DELYS|DIELIS|DILIS|DOLIS|DUILIS,F,DELIS,594,136,730,1053,DELIS,0.8136986301369863
BELISA|BELIZA|DALISA|DALIZA|DELIZA,F,DELISA,86,,86,1445,BELIZA,1.0
DELIZANDRA,F,DELISANDRA,23,,23,48,DELIZANDRA,1.0
BELISE|BELIZE|DALISE|DALIZE|DELIZE,F,DELISE,410,,410,937,DELISE,1.0
DALIZETE|DELIZETE|DOLISETE|DOLIZETE,F,DELISETE,144,,144,924,DELIZETE,1.0
BELISIO|BELIZIO|DALISIO|DALIZIO,M,DELISIO,,34,34,259,DALISIO,1.0
DALISMAR|DOLISMAR,M,DELISMAR,33,158,191,191,DELISMAR,0.8272251308900523
DALISOM|DALISON|DALYSON|DEILISON|DIALISON|DIELISON,M,DELISON,,160,160,1852,DALISON,1.0
DALISSOM|DALISSON|DALYSSON|DIALISSON|DIELISSON,M,DELISSON,,53,53,881,DALISSON,1.0
BELITA|DALITA|DEOLITA|DIELITA,F,DELITA,607,,607,1228,DELITA,1.0
DALITE,F,DELITE,89,,89,281,DALITE,1.0
DALITON|DIELITON,M,DELITON,,56,56,347,DIELITON,1.0
BOLIVAL|DOLIVAL,M,DELIVAL,,109,109,232,DELIVAL,1.0
BOLIVALDO,M,DELIVALDO,,155,155,178,DELIVALDO,1.0
,M,DELIVAN,,84,84,84,DELIVAN,1.0
,F,DELIVANIA,59,,59,59,DELIVANIA,1.0
DAILIS|DALIS|DELIS|DELYS|DIELIS|DILIS|DOLIS|DUILIS,F,DELIZ,21,,21,1053,DELIS,1.0
BELISA|BELIZA|DALISA|DALIZA|DELISA,F,DELIZA,81,,81,1445,BELIZA,1.0
DELISANDRA,F,DELIZANDRA,25,,25,48,DELIZANDRA,1.0
DELISANGELA,F,DELIZANGELA,42,,42,103,DELISANGELA,1.0
BELISE|BELIZE|DALISE|DALIZE|DELISE,F,DELIZE,207,,207,937,DELISE,1.0
DALIZETE|DELISETE|DOLISETE|DOLIZETE,F,DELIZETE,594,,594,924,DELIZETE,1.0
,F,DELIZETI,22,,22,22,DELIZETI,1.0
BELISIA|BELIZIA|DELISIA,F,DELIZIA,102,,102,462,BELIZIA,1.0
BELL|BILAL|BILL|DALAL|DALEL|DALIEL|DELIEL|DILAEL|DILL,M,DELL,,22,22,596,BILL,1.0
,M,DELLANO,,40,40,40,DELLANO,1.0
,M,DELLEON,,28,28,28,DELLEON,1.0
DELLYS,F,DELLIS,53,,53,90,DELLIS,1.0
BELLY|BILLI|BILLY|DALIELI|DALILI|DALLY|DAYELLI|DELLI|DHIELLY|DHIULLY|DHULLY|DIELLI|DIELLY|DILLY|DIULLI|DIULLY|DOLLY|DULLY|DYULLY,F,DELLY,107,24,131,2083,BILLY,0.816793893129771
DELLIS,F,DELLYS,37,,37,90,DELLIS,1.0
BELMA|BELMAR|BILMA|BILMAR|DAELMA|DAILMA|DALMA|DALMAR|DEILMA|DELMAR|DIELMA|DILMA|DILMAR|DIOLMAR|DOLMA|DOLMAR|DYLMA,F,DELMA,16112,90,16202,71110,DILMA,0.9944451302308357
DALMACI|DALMACIR|DELMACIR|DILMACI|DILMACIR,F,DELMACI,90,,90,171,DELMACI,1.0
DALMACIO,M,DELMACIO,,40,40,258,DALMACIO,1.0
DALMACI|DALMACIR|DELMACI|DILMACI|DILMACIR,F,DELMACIR,27,20,47,171,DELMACI,0.574468085106383
BELMAIR|DILMAIR,F,DELMAIR,169,23,192,318,DELMAIR,0.8802083333333334
DALMAN|DELMAM|DILMAN,M,DELMAN,,134,134,205,DELMAN,1.0
,M,DELMANI,,23,23,23,DELMANI,1.0
BELMA|BELMAR|BILMA|BILMAR|DAELMA|DAILMA|DALMA|DALMAR|DEILMA|DELMA|DIELMA|DILMA|DILMAR|DIOLMAR|DOLMA|DOLMAR|DYLMA,M,DELMAR,224,5553,5777,71110,DILMA,0.9612255495932145
DALMARA|DILMARA,F,DELMARA,412,,412,1848,DILMARA,1.0
DALMARCIO,M,DELMARCIO,,38,38,76,DELMARCIO,1.0
,M,DELMARCOS,,25,25,25,DELMARCOS,1.0
DELMARY|DILMARI,F,DELMARI,78,,78,111,DELMARI,1.0
DALMARIA|DILMARIA,F,DELMARIA,136,,136,280,DELMARIA,1.0
DILMARINA,F,DELMARINA,99,,99,122,DELMARINA,1.0
BELMARIO|DALMARIO|DILMARIO,M,DELMARIO,,426,426,651,DELMARIO,1.0
,M,DELMARQUES,,28,28,28,DELMARQUES,1.0
DILMAS,M,DELMAS,,42,42,111,DILMAS,1.0
DALME|DALMER|DILME,M,DELMER,,76,76,156,DELMER,1.0
BELMIR|DALMI|DALMIR|DALMY|DALMYR|DELMIR,M,DELMI,78,200,278,6400,DALMIR,0.7194244604316546
,F,DELMICE,23,,23,23,DELMICE,1.0
,M,DELMICIO,,56,56,56,DELMICIO,1.0
BELMINA|DALMINA,F,DELMINA,534,,534,599,DELMINA,1.0
BELMINDA,F,DELMINDA,747,,747,772,DELMINDA,1.0
,M,DELMINDO,,63,63,63,DELMINDO,1.0
,M,DELMINO,,81,81,81,DELMINO,1.0
BELMIR|DALMI|DALMIR|DALMY|DALMYR|DELMI,M,DELMIR,40,1379,1419,6400,DALMIR,0.9718111346018323
BALMIRA|BELMIRA|DALMIRA|DILMIRA|DOLMIRA,F,DELMIRA,4275,,4275,8305,DELMIRA,1.0
BELMIRIO|DALMIRIO,M,DELMIRIO,,50,50,138,BELMIRIO,1.0
BELMIRO|DALMIRO|DOLMIRO,M,DELMIRO,,3451,3451,9626,BELMIRO,1.0
,M,DELMISON,,34,34,34,DELMISON,1.0
,F,DELMITA,83,,83,83,DELMITA,1.0
DALMO|DALMOR|DEALMO|DIELMO|DILMO,M,DELMO,,1883,1883,7854,DALMO,1.0
DALMON,M,DELMON,,162,162,260,DELMON,1.0
BELMONTE,M,DELMONTE,,21,21,79,BELMONTE,1.0
DALNEI|DALNEY|DALNI|DALNIR|DELNI|DELNIR|DILNEI|DILNEY,M,DELNEI,,29,29,1380,DILNEI,1.0
DALNEI|DALNEY|DALNI|DALNIR|DELNEI|DELNIR|DILNEI|DILNEY,F,DELNI,22,,22,1380,DILNEI,1.0
BELNICE|DALNICE,F,DELNICE,213,,213,241,DELNICE,1.0
,M,DELNICIO,,21,21,21,DELNICIO,1.0
DALNEI|DALNEY|DALNI|DALNIR|DELNEI|DELNI|DILNEI|DILNEY,M,DELNIR,24,48,72,1380,DILNEI,0.6666666666666666
,F,DELNIRA,49,,49,49,DELNIRA,1.0
DILNISIO|DILNIZIO,M,DELNISIO,,24,24,72,DILNISIO,1.0
DELOCIR,F,DELOCI,117,36,153,173,DELOCI,0.7647058823529411
DELOCI,M,DELOCIR,,20,20,173,DELOCI,1.0
BELOIR|DELOIR,M,DELOI,,47,47,277,DELOIR,1.0
BELOIR|DELOI,M,DELOIR,47,183,230,277,DELOIR,0.7956521739130434
BELOMAR|DILOMAR,M,DELOMAR,,95,95,430,DILOMAR,1.0
BAILON|DAILOM|DAILON|DALON|DAYLON|DEILON|DEYLON|DILOM|DILON|DYLON,M,DELON,,108,108,1947,DILON,1.0
BELONI|BELONIR|BELONY|DELONI|DELONIR|DILONEI,M,DELONEI,,75,75,3088,BELONI,1.0
BELONI|BELONIR|BELONY|DELONEI|DELONIR|DILONEI,F,DELONI,250,63,313,3088,BELONI,0.7987220447284346
BELONICE,F,DELONICE,20,,20,271,BELONICE,1.0
BELO|DAILO|DAILOR|DAULO|DEILO|DEILOR|DELHO|DELO|DIELO|DILO|DILOR|DOILHO|DOLOR|DUILHO|DUILO,M,DELOR,,33,33,1485,DUILHO,1.0
,M,DELORGES,,24,24,24,DELORGES,1.0
,F,DELORME,130,69,199,199,DELORME,0.6532663316582915
,M,DELOSMAR,,120,120,120,DELOSMAR,1.0
DELURDES|DILOURDES|DILURDES,F,DELOURDES,367,,367,1505,DELURDES,1.0
DALFINA|DELFINA|DOLFINA,F,DELPHINA,99,,99,5708,DELFINA,1.0
DELFINO|DOLFINO,M,DELPHINO,,39,39,3093,DELFINO,1.0
BELZA|DAILSA|DAILZA|DALSA|DALZA|DEILSA|DEILZA|DELZA|DIELSA|DIELZA|DILSA|DILZA,F,DELSA,1088,,1088,16440,DILZA,1.0
DELZANIRA,F,DELSANIRA,59,,59,160,DELZANIRA,1.0
DALSI|DALSIR|DALZI|DALZIR|DELSIR|DELSY|DELZI|DELZIR|DILSI|DULSI,F,DELSI,305,120,425,1052,DELSI,0.7176470588235294
DALSIANE|DALZIANE|DELZIANE|DILSIANE|DILZIANE,F,DELSIANE,229,,229,581,DELSIANE,1.0
DALSILENE|DALZILENE|DELZILENE|DILSILENE|DILZILENE,F,DELSILENE,253,,253,673,DELSILENE,1.0
DALZIMAR|DELSIMA|DELZIMA|DELZIMAR|DILSIMAR,M,DELSIMAR,253,502,755,1481,DELSIMAR,0.6649006622516557
DALSIO|DELZIO,M,DELSIO,,446,446,547,DELSIO,1.0
DALSI|DALSIR|DALZI|DALZIR|DELSI|DELSY|DELZI|DELZIR|DILSI|DULSI,M,DELSIR,21,41,62,1052,DELSI,0.6612903225806451
DALSIRA|DALZIRA|DELZIRA|DOLZIRA,F,DELSIRA,100,,100,1533,DALZIRA,1.0
DALZIRENE|DELZIRENE,F,DELSIRENE,77,,77,252,DELZIRENE,1.0
DELSUITA|DELZITA|DELZUITA,F,DELSITA,84,,84,2267,DELZUITA,1.0
,F,DELSIVANIA,46,,46,46,DELSIVANIA,1.0
DAILSO|DALSO|DEILSO|DELZO|DIELSO|DILSO|DILZO,M,DELSO,,1187,1187,2490,DELSO,1.0
BEILSON|BELSON|DAELSON|DAILSOM|DAILSON|DALSON|DAYLSON|DEILSOM|DEILSON|DELSON|DEUILSON|DEYLSON|DIELSOM|DIELSON|DILSOM|DILSON|DILZON|DOELSON|DOILSON|DUILSON|DYLSON,M,DELSOM,,306,306,37371,DILSON,1.0
BEILSON|BELSON|DAELSON|DAILSOM|DAILSON|DALSON|DAYLSON|DEILSOM|DEILSON|DELSOM|DEUILSON|DEYLSON|DIELSOM|DIELSON|DILSOM|DILSON|DILZON|DOELSON|DOILSON|DUILSON|DYLSON,M,DELSON,,7012,7012,37371,DILSON,1.0
,M,DELSUC,,29,29,29,DELSUC,1.0
DELSITA|DELZITA|DELZUITA,F,DELSUITA,497,,497,2267,DELZUITA,1.0
DELZUITE,F,DELSUITE,93,,93,361,DELZUITE,1.0
BALTAR|BELTA|DAILTA|DALTA|DEILTA|DILTA,F,DELTA,553,,553,854,DELTA,1.0
BELTINA|DALTINA|DEALTINA,F,DELTINA,59,,59,336,DALTINA,1.0
DALTINO,M,DELTINO,,52,52,87,DELTINO,1.0
BELTO|DAILTO|DALTO|DEILTO|DIELTO|DILTO,M,DELTO,,229,229,2416,DALTO,1.0
BEILTON|BELTON|DAELTON|DAILTOM|DAILTON|DALTOM|DALTON|DAYLTON|DEILTOM|DEILTON|DELTOM|DIELTON|DILTOM|DILTON|DUILTON,M,DELTON,,1020,1020,18055,DALTON,1.0
,F,DELTRUDES,56,21,77,77,DELTRUDES,0.7272727272727273
DALUAN,M,DELUAN,,31,31,31,DELUAN,1.0
DALUANA,F,DELUANA,29,,29,63,DALUANA,1.0
DALUBIA,F,DELUBIA,31,,31,59,DELUBIA,1.0
,M,DELUBIO,,47,47,47,DELUBIO,1.0
,F,DELUCI,34,,34,34,DELUCI,1.0
DALUCIA|DILUCIA,F,DELUCIA,139,,139,196,DELUCIA,1.0
,M,DELUCIO,,37,37,37,DELUCIO,1.0
DILURDE,F,DELURDE,112,,112,147,DELURDE,1.0
DELOURDES|DILOURDES|DILURDES,F,DELURDES,1002,,1002,1505,DELURDES,1.0
DALUZIA|DELUSIA,F,DELUZIA,65,,65,110,DELUZIA,1.0
DAILVA|DALVA|DELVAR|DILVA|DILVAR|DOLVA,F,DELVA,809,,809,88508,DALVA,1.0
DALVACI|DALVACIR|DALVACY|DELVACIR|DILVACI,F,DELVACI,101,86,187,1800,DALVACI,0.5401069518716578
DALVACI|DALVACIR|DALVACY|DELVACI|DILVACI,M,DELVACIR,27,47,74,1800,DALVACI,0.6351351351351351
DALVAIR|DALVIA|DELVAIR|DELVIA|DILVAIR|DILVIA|DOLVAIR,F,DELVAI,32,25,57,2034,DELVAIR,0.5614035087719298
DALVAIR|DALVIA|DELVAI|DELVIA|DILVAIR|DILVIA|DOLVAIR,M,DELVAIR,583,979,1562,2034,DELVAIR,0.6267605633802817
DALVAM|DALVAN|DELVAM|DILVAM|DILVAN,M,DELVAN,,818,818,5207,DALVAN,1.0
DALVANA|DILVANA,F,DELVANA,115,,115,1851,DALVANA,1.0
,M,DELVANDO,,84,84,84,DELVANDO,1.0
DALVANE|DILVANE,M,DELVANE,168,244,412,1411,DILVANE,0.5922330097087378
DALVANEI|DALVANI|DALVANIR|DALVANY|DELVANI|DELVANIR|DELVANY|DILVANEI|DILVANI|DILVANIR,M,DELVANEI,,41,41,6012,DALVANI,1.0
DALVANETE|DILVANETE,F,DELVANETE,42,,42,688,DALVANETE,1.0
DALVANEI|DALVANI|DALVANIR|DALVANY|DELVANEI|DELVANIR|DELVANY|DILVANEI|DILVANI|DILVANIR,F,DELVANI,682,451,1133,6012,DALVANI,0.6019417475728155
DALVANIA|DILVANIA,F,DELVANIA,679,,679,1562,DELVANIA,1.0
DALVANICE|DILVANICE,F,DELVANICE,92,,92,648,DALVANICE,1.0
DALVANIO|DILVANIO,M,DELVANIO,,196,196,307,DELVANIO,1.0
DALVANEI|DALVANI|DALVANIR|DALVANY|DELVANEI|DELVANI|DELVANY|DILVANEI|DILVANI|DILVANIR,F,DELVANIR,392,257,649,6012,DALVANI,0.6040061633281972
DALVANIRA|DILVANIRA,F,DELVANIRA,104,,104,1946,DALVANIRA,1.0
DALVANO|DILVANO,M,DELVANO,,82,82,173,DELVANO,1.0
DALVANEI|DALVANI|DALVANIR|DALVANY|DELVANEI|DELVANI|DELVANIR|DILVANEI|DILVANI|DILVANIR,F,DELVANY,34,28,62,6012,DALVANI,0.5483870967741935
DALVI|DALVIR|DELVIR,M,DELVI,,111,111,590,DALVI,1.0
DALVAIR|DALVIA|DELVAI|DELVAIR|DILVAIR|DILVIA|DOLVAIR,F,DELVIA,84,,84,2034,DELVAIR,1.0
DALVIENE,F,DELVIENE,22,,22,99,DALVIENE,1.0
DALVIMAR,M,DELVIMAR,,24,24,120,DALVIMAR,1.0
DALVIM|DALVIN,M,DELVIN,,21,21,193,DALVIN,1.0
BALVINA|BELVINA|DALVINA|DALVINHA|DOLVINA,F,DELVINA,945,,945,9839,DALVINA,1.0
DALVINO|DOLVINO,M,DELVINO,,762,762,2504,DALVINO,1.0
